BDI
COM
ERI
ETH
KEN
MDG
MWI
MUS
MOZ
RWA
SYC
SSD
UGA
TZA
ZMB
ZWE
AGO
CMR
CAF
TCD
COG
COD
GNQ
GAB
STP
BWA
SWZ
LSO
NAM
ZAF
BEN
BFA
CPV
CIV
GMB
GHA
GIN
GNB
LBR
MLI
MRT
NER
NGA
SEN
SLE
TGO
