DZA
EGY
LBY
MAR
SDN
TUN
ESH
BDI
COM
DJI
ERI
ETH
ATF
KEN
MDG
MWI
MUS
MYT
MOZ
REU
RWA
SYC
SOM
SSD
UGA
TZA
ZMB
ZWE
AGO
CMR
CAF
TCD
COG
COD
GNQ
GAB
STP
BWA
SWZ
LSO
NAM
ZAF
BEN
BFA
CPV
CIV
GMB
GHA
GIN
GNB
LBR
MLI
MRT
NER
NGA
SHN
SEN
SLE
TGO
