Region name
Ngchemiangel
Medorm
Elechui
Ngerkeai
Imul
Ordome
Ngerusar
Ngeruluobel
Ngetkib
Oikull
Ngchesechang
Rois
Ngebeianged
Ngermasech
Ngerbelau
Hatohobei + Helens Reef
Dimes
Dilong
Ngeburch
Ngeruliang
Ngermelech
Ukaeb
Ngerang
Negerubesang
Melekeok
Chelab
Choll
Ngebuked
Ngkeklau
Ulimang
Iebukel
Mengellang
Ngebei
Ngerbau
Ngebei
Ollei
Ngeiungel
Badrulchau
Ngerutoi
Ngetbong
Urdmau
Imeong
Ngchemesed
Ngermetengel
Ngereklengon
Ngerutchei
Ngatpang
Ibobang
Ngchesar
Ngeriungs
Ngerngesang
Ngerkesou
Ngersuul
Ngeruikl
Ngellau
Ngercheluuk
Ngermechau
Ngersngai
Ngerdelolk
Ngesias
Ngerchol
Ngerkeiukl
Teliu
Sonsorol + Pulo Anna + Merir
Ngerkesowaol
Ngerbeched
Iyebukel
Meketii
Medalaii
Idid 03
Ikelau
Ngerchemai
Meyuns
Dngronger
Ngermid
Ngerkebesang
Rock Islands
