Region name
Bobonong
Machaneng
Gaborone
Lethlakane
Mahalapye
Palapye
South East
Serowe
Barolong
Tuli
Tutume
Ghanzi
Gemsbok
Hukunsti
Tshabong
Kgatleng
Ngwaketse Central
Kweneng North
Ngamiland West
Kweneng South
Masungu
Chobe
Ngamiland East
Ngwaketse North
Ngwaketse South
