Region name
Municipality of Partesh
Municipality of Dragash
Municipality of Rahovec
Municipality of Shtërpcë
Municipality of Kamenica
Municipality of Fushë Kosovë
Municipality of Novobërdë
Municipality of Istog
Municipality of Prizren
Municipality of Pristina
Municipality of Han i Elezit
Municipality of North Mitrovica
Municipality of Kllokot
Municipality of Ferizaj
Municipality of Drenas
Municipality of Deçan
Municipality of Mitrovica
Municipality of Podujeva
Municipality of Suhareka
Municipality of Kaçanik
Municipality of Ranillug
Municipality of Malisheva
Municipality of Peja
Municipality of Zubin Potok
Municipality of Junik
Municipality of Viti
Municipality of Gjakova
Municipality of Zveçan
Municipality of Klina
Municipality of Gjilan
Municipality of Leposaviq
Municipality of Gracanica
Municipality of Mamusha
Municipality of Vushtrri
Municipality of Lipjan
Municipality of Skenderaj
Municipality of Obiliq
Municipality of Shtime
