Region name
Niquero
Nuevitas
Pilón
Antilla
Esmeralda
Bayamo
Marianao
Morón
Sandino
Bolivia
Aguada de Pasajeros
Minas de Matahambre
Cárdenas
Cacocum
Puerto Padre
Sagua La Grande
Vertientes
Corralillo
Florida
Bahía Honda
Jiguaní
La Sierpe
Remedios
Primero de Enero
Ciénaga de Zapata
Sancti Spiritus
Matanzas
Caimanera
Martí
Guantánamo
Gibara
Caibarién
La Palma
San Luis
Baracoa
Santa Cruz del Norte
San Antonio del Sur
Rafael Freyre
Viñales
Chambas
Imías
Artemisa
Caimito
San Cristóbal
Yaguajay
Habana del Este
San Juan y Martínez
Frank País
Bauta
Moa
Maisí
Venezuela
Banes
Los Arabos
Trinidad
Báguanos
Ciego de Ávila
Ciro Redondo
Encrucijada
Florencia
Guamá
Najasa
Yateras
Yara
Candelaria
Placetas
Los Palacios
Manzanillo
Campechuela
Céspedes
Playa
Colón
Jimaguayú
Jovellanos
San Luis
Santa Isabel de las Lajas
Santiago de Cuba
Pinar del Río
Manicaragua
Niceto Pérez
Mariel
Cotorro
Consolación del Sur
Sibanicú
Cruces
Jagüey Grande
Las Tunas
Güines
Majibacoa
Mantua
Perico
Songo - La Maya
Mayarí
Camagüey
Camajuaní
Guáimaro
Holguín
Majagua
Tercer Frente
Calimete
Cumanayagua
Cauto Cristo
Urbano Noris
Unión de Reyes
Taguasco
Sierra de Cubitas
Segundo Frente
Santo Domingo
Santa Cruz del Sur
Santa Clara
San Nicolás
San Miguel del Padrón
San José de las Lajas
San Antonio de los Baños
Sagua de Tánamo
Rodas
Río Cauto
Regla
Ranchuelo
Quivicán
Quemado de Güines
Plaza de la Revolución
Pedro Betancourt
Palmira
Palma Soriano
Nueva Paz
Minas
Mella
Melena del Sur
Media Luna
Manuel Tames
Manati
Madruga
Limonar
La Lisa
La Habana Vieja
Jobabo
Jesús Menéndez
Jatibonico
Jaruco
Guisa
Güira de Melena
Guane
Guanajay
Guanabacoa
Fomento
El Salvador
Diez de Octubre
Cueto
Contramaestre
Colombia
Cifuentes
Cienfuegos
Cerro
Centro Habana
Calixto García
Cabaiguán
Buey Arriba
Boyeros
Bejucal
Batabanó
Bartolomé Masó
Baraguá
Arroyo Naranjo
Amancio
Alquízar
Abreus
Isle of Youth
