Region name
Sydösterbotten
Kaustisen seutukunta
Saarijärvi-Viitasaari
Rauman seutukunta
Kotkan–Haminan seutukunta
Turun seutukunta
Keuruun seutukunta
Koillismaan seutukunta
Ålands landsbygd
Ålands skärgård
Äänekoski
Jämsä
Kajaanin seutukunta
Nivala–Haapajärven seutukunta
Kehys-Kainuun seutukunta
Lounais-Pirkanmaan seutukunta
Luoteis-Pirkanmaan seutukunta
Pohjois-Satakunnan seutukunta
Raseborgs ekonomiska region
Rovaniemen seutukunta
Savonlinnan seutukunta
Turunmaan seutukunta
Varkauden seutukunta
Ylä-Savon seutukunta
Ylivieskan seutukunta
Mariehamns stad
Suupohjan seutukunta
Kemi-Tornion seutukunta
Lahden seutukunta
Itä-Lapin seutukunta
Hämeenlinnan seutukunta
Joensuun seutukunta
Seinäjoen seutukunta
Helsinki sub-region
Tampereen seutukunta
Keski-Karjalan seutukunta
Tunturi-Lapin seutukunta
Kyrönmaan seutukunta
Kouvolan seutukunta
Pietarsaaren seutukunta
Vaasa sub-region
Ylä-Pirkanmaan seutukunta
Etelä-Pirkanmaan seutukunta
Oulun seutukunta
Riihimäen seutukunta
Porvoon seutukunta
Joutsa
Sisä-Savon seutukunta
Porin seutukunta
Mikkelin seutukunta
Torniolaakson seutukunta
Kuusiokuntien seutukunta
Pohjois-Lapin seutukunta
North Eastern Savonia
Pieksämäen seutukunta
Pielisen Karjalan seutukunta
Haapaveden-Siikalatvan seutukunta
Loviisan seutukunta
Raahen seutukunta
Oulunkaaren seutukunta
Järviseudun seutukunta
Forssan seutukunta
Salon seutukunta
Imatran seutukunta
Kokkolan seutukunta
Kuopio sub-region
Loimaan seutukunta
Jyväskylä
Lappeenrannan seutukunta
Vakka-Suomen seutukunta
