Region name
Anatolikis Makedonias kai Thr*
Kentrikis Makedonias
Dytikis Makedonias
Ipeiroy
Thessalias
Stereas Elladas
Ionion Nison
Dytikis Elladas
Peloponnisoy
Attikis
Voreioy Aigaioy
Notioy Aigaioy
Kritis
Agion Oros
