Region name
Malësi e Madhe
Pukë
Has
Kukës
Lezhë
Shkodër
Tropojë
Mirditë
Kurbin
Mat
Dibër
Bulqizë
Krujë
Tiranë
Durrës
Kavajë
Peqin
Elbasan
Lushnjë
Fier
Kuçovë
Berat
Mallakastër
Librazhd
Pogradec
Gramsh
Kuçovë
Devoll
Kolonjë
Skrapar
Përmet
Tepelenë
Gjirokastër
Delvinë
Sarandë
Vlorë
