Region name
Asht District
Isfara District
Konibodom District
Shahriston District
Kuhistoni Mastchoh District
Panjakent District
Spitamen District
Zafarobod District
Ghonchi District
Mastchoh District
Ayni District
Ghafurov District
Istaravshan District
Jabbor Rasulov District
Roshtqal'a District
Tojikobod District
Nosiri Khusrav District
Murghob District
Shahrtuz District
Hisor District
Faizobod District
Roghun District
Muminobod District
Varzob District
Sarband District
Dzhami District
Rushon District
Vakhsh District
Tursunzoda District
Khuroson District
Qumsangir District
Kulob District
Sharinav District
Nurobod District
Temurmalik District
Hamadoni District
Shuro-obod District
Rumi District
Bokhtar District
Vose' District
Vanj District
Jirgatol District
Panj District
Norak District
Yovon District
Qabodiyon District
Khovaling District
Baljuvon District
Jilikul District
Danghara District
Farkhor District
Shughnon District
Rasht District
Darvoz District
Vahdat District
Ishkoshim District
Tavildara District
Rudaki District
