Region name
Al-Azraq
Al-Jizah
Dhiban
Madaba
Al-Muwaqqar
Um al-Basatin
Na'ur
Amman
Wadi al-Sayr
Sahab
Az-Zarqa
Birin
Ar Ramtha
As-Salt
Ardhah
Al-Balqa
Shuna al-Jabiniyya
Dair Alla
Kofranjah
Aljun
Wastiyyeh
Tayybeh
Mazar Shamaliyyeh
Bani Knana
Al-Aghwar Shamaliyyeh
Jerash
Ar-Ruwayshid
Sabha
Sama as-Sarhan
Bal'ama
Al-Mafraq
Wadi Araba
Al-Quwayra
Al-Qasr
Al-Safi
Faqqu
Al-Mazra'a
Ayy
Al-Karak
Al-Mazar al-Janubiyya
Ma'an
Ayi
Wadi Musa
Al-Husanyniyya
Ash-Shibek
Al-Aqaba
Al-Tafila
Birsayra
Al-Hasa
Hariema
Kora
Irbid
