Region name
Alta Verapaz
Suchitepéquez
El Progreso
Zacapa
Petén
Quiché
Chiquimula
Sacatepéquez
Guatemala
Izabal
Jalapa
San Marcos
Huehuetenango
Totonicapán
Quetzaltenango
Retalhuleu
Baja Verapaz
Sololá
Escuintla
Chimaltenango
Jutiapa
Santa Rosa
