Region name
Hainan Province
Guangxi Zhuang Autonomous Region
Fujian Province
Yunnan Province
Guizhou Province
Jiangxi Province
Hunan Province
Zhejiang Province
Shanghai Municipality
Chongqing Municipality
Hubei Province
Sichuan Province
Anhui Province
Jiangsu Province
Henan Province
Tibet Autonomous Region
Shandong Province
Qinghai Province
Ningxia Ningxia Hui Autonomous Region
Shaanxi Province
Tianjin Municipality
Shanxi Province
Beijing Municipality
Gansu Province
Hebei Province
Liaoning Province
Jilin Province
Xinjiang Uyghur Autonomous Region
Inner Mongolia Autonomous Region
Heilongjiang Province
Macau Special Administrative Region
Hong Kong Special Administrative Region
Guangzhou Province
