Region name
Pavlodar Region
Jambyl Region
Kostanay Region
Mangystau Region
Karaganda Region
Kyzylorda Region
East Kazakhstan Region
Aktobe Region
Atyrau Region
South Kazakhstan Region
Akmola Region
Almaty Region
North Kazakhstan Region
Almaty
West Kazakhstan Region
Astana
