Region name
Provincia de Bocas del Toro
Colón Province
Provincia de Darién
Comarca Emberá-Wounaan
Comarca Guna Yala
Provincia de Herrera
Provincia de Los Santos
Comarca Ngäbe-Buglé
Provincia de Panamá Oeste
Provincia de Panamá
Provincia de Veraguas
Provincia de Chiriquí
Provincia de Coclé
